DealerId,VIN,Stock #,New/Used,Year,Make,Model,Model Number,Body,Transmission,Series,Body Door Ct,Odometer,Engine Cylinder Ct,Engine Displacement,Drivetrain Desc,Color,Interior Color,Invoice,MSRP,Book Value,Price,Inventory Date,Certified,Description,Features,Photo Url List,Internet Price,Bit,Listing Url,Product Type,Transmission
4802,1HD4CAM3X2K156359,156359BB,U,2002,Harley-Davidson,2002 Harley-Davidson Sportster 883 Custom,,,,,,65362,,,,#N/A,,,6999,6999,6999,17-08-2024 23:26,,"2002 Harley-Davidson Sportster 883 – Fully Custom Café Racer

Meet the ultimate expression of creativity and performance: this 2002 Sportster 883, transformed into a sleek, aggressive café racer-inspired machine. With top-tier customizations from front to back, this isn’t just a motorcycle—it’s a rolling work of art built for speed, style, and precision.

Design & Aesthetics:
Café Racer-Inspired Paint Job: A bold, sleek finish with clean lines and retro-modern flair, embodying the café racer ethos.Rear Fender with Fender Eliminator Kit: Streamlined for a minimalist, sharp rear profile, complete with integrated lighting for a clean, uncluttered look.Custom Café Racer Seat: Designed for comfort and style, featuring a sculpted design that enhances the bike’s aerodynamic profile.
Performance Upgrades:
Progressive 490 Series Suspension: Premium suspension for superior handling, comfort, and agility, whether you're carving corners or cruising straightaways.Tubeless Spoke Wheels: Classic spoked look with modern tubeless technology for enhanced reliability and performance.
Lighting & Electrical:
Baja Design Lighting: High-output lighting for unparalleled visibility and a futuristic aesthetic.Custom Electrical System: Redesigned wiring for a cleaner, more efficient setup with modern functionality.
Controls & Comfort:
Custom Controls: Precision-engineered controls for a tailored riding experience, offering improved ergonomics and responsiveness.Mirrors: Sleek, minimalist design mirrors for a clean and functional cockpit.
Why This Bike Stands Out:
Bespoke Build: Every inch of this bike has been meticulously crafted for the discerning rider who values both performance and individuality.Café Racer Attitude: Lightweight, powerful, and aggressive—perfect for city streets or backroad blasts.Attention to Detail: From the integrated rear fender to the tubeless spoke wheels, no element has been overlooked.
Ride the Custom Dream

This is more than a motorcycle; it’s a statement. If you’re ready to experience the thrill of a one-of-a-kind custom café racer that blends iconic Harley heritage with cutting-edge craftsmanship, this is your ride. Don’t wait—this masterpiece won’t last long.

Schedule a viewing or test ride today! ?️?",,"https://cdn.room58.com/2025/04/10/184373015c09c1de539c384c0b2d00ac_5662d9d419ced080.jpg,https://cdn.room58.com/2025/01/08/26b8b67b0b7a768deb417bb017748195_ec1907349da75fcc.jpg,https://cdn.room58.com/2025/01/08/19c2cf82ce597270d2154b13f75495a7_d846ce2aca8b429b.jpg,https://cdn.room58.com/2025/01/08/c9dfe65152dc83ad6db3e1061fb935e6_8df76361a069464f.jpg,https://cdn.room58.com/2025/01/08/125ac6fca60e3413c700225bc02a6258_4304e1184baa2247.jpg,https://cdn.room58.com/2025/01/08/c4f4805fe6fc40a1d44514cd614e7fc3_cacfc015410f091d.jpg,https://cdn.room58.com/2025/01/08/2eb0b4c6de770fc91de36a3b2008fa33_d88c3ce08798b466.jpg,https://cdn.room58.com/2025/01/08/11dfe7f8960a18a050f12c84152dd085_5f5f08c0c23fa803.jpg,https://cdn.room58.com/2025/01/08/a772de9e4627de149451ced6f2382333_7ff2e078c459005a.jpg,https://cdn.room58.com/2025/01/08/5b45148898780fe58e2267e2979af1db_dcacb40fd9c34030.jpg",6999,,https://sandiegoharley.com/inventory/791934/harley-davidson-sporster-883-custom,Motorcycles,other
4802,1HD1FC4307Y705108,705108BB,U,2007,Harley-Davidson,2007 Harley-Davidson Electra Glide Ultra Classic,,,,,,77128,,,,Custom Colour Radioactive Green,,,7888,7888,7888,07-01-2025 19:35,,"Experience bold style and high-performance craftsmanship with The Pickle, a fully customized 2007 Harley-Davidson Electra Glide Ultra Classic by HMF. This striking green bagger commands attention with intricate graphics, extended saddlebags, and one-off bodywork that redefine its aggressive aesthetic. HMF’s custom exhaust system delivers a deep, throaty rumble, while a high-performance air intake and engine tune ensure exhilarating power and smooth torque. Comfort isn’t sacrificed for style—a plush seat, upgraded audio system, and ergonomic handlebars make long rides as enjoyable as they are impressive.

Sitting on oversized chrome-finished custom wheels with a lowered stance, The Pickle blends touring functionality with head-turning design. Whether you’re carving through open roads or stealing the spotlight at bike shows, this one-of-a-kind masterpiece is built for riders who embrace individuality. Own a true legend—The Pickle won’t last long!
4o",,"https://cdn.room58.com/2025/04/09/bb204bc6d9d12061a5e153e9754430e1_2350f0d4b91b5edc.jpg,https://cdn.room58.com/2025/01/07/3ac1013f71bcb19907d355c2f9ba7e1f_e3db20955407ad6d.jpg,https://cdn.room58.com/2025/01/07/324ce7393b37808c686ef16243ee3698_b46a83bb9892b518.jpg,https://cdn.room58.com/2025/01/07/c1c22fb09455664c01ba7cb66bf9e97c_28f90cb57cfeaa8f.jpg,https://cdn.room58.com/2025/01/07/d2462386a4df0a78acffe9f47890ea52_0f64671ff4b0b8a6.jpg,https://cdn.room58.com/2025/01/07/e7e12298318ba6603e1c4641a8972a26_8bbf756fd9a681b7.jpg",7888,,https://sandiegoharley.com/inventory/820408/2007-harley-davidson-electra-glide-ultra-classic,Motorcycles,other
4802,1HD1YXZ25RB056106,056106BB,U,2024,Harley-Davidson,2024 Low Rider ST,,,,,,377,,,,Billiard Gray,,,27990,27990,27990,15-01-2025 03:05,,"The 2024 Harley-Davidson Low Rider ST is the ultimate performance cruiser, blending aggressive West Coast styling with touring-ready functionality. Powered by the Milwaukee-Eight 117 V-Twin engine, it delivers 125 ft-lb of torque at 3,500 RPM, ensuring thrilling acceleration and smooth highway cruising. The six-speed Cruise Drive transmission provides seamless shifting, while the inverted front fork and high-performance rear mono-shock suspension enhance handling and comfort. Weighing 720 lbs (wet weight) with a 5-gallon fuel tank, it’s built for long-haul stability without compromising its nimble ride. Designed with bold, aerodynamic lines and a frame-mounted fairing, the Low Rider ST turns heads while offering practical touring features like lockable, rigid saddlebags for ample storage. The Daymaker LED headlight, dual front disc brakes with ABS, and a solo seat with enhanced lumbar support make it a stylish yet functional choice for riders who demand both power and versatility. Whether carving through twisty roads or embarking on a weekend adventure, this dynamic, sport-tuned cruiser delivers an exhilarating ride with touring convenience and customizable potential. Contact us today to make it yours!",,"https://cdn.room58.com/2025/04/09/6c6f0160ea9e9f14cb5c34fbc55d9a7a_0c5f1a80400fa36f.jpg,https://cdn.room58.com/2025/01/15/e8e35b9b08975add8c57bd2f60516949_ec463ee2bc621821.jpg,https://cdn.room58.com/2025/01/15/cc56d49459b6fb112946342254fd7e88_3ddbe825e45a5283.jpg,https://cdn.room58.com/2025/01/15/e123137c0ad9ed162993105632771295_e2d9d751e08cf06b.jpg,https://cdn.room58.com/2025/01/15/e3fec7ecaf1c4965a2c478e1f8694ed5_b872061e2bee05de.jpg,https://cdn.room58.com/2025/01/15/ba86564048ca8dc3d500aadad904239e_cacc63713e467b18.jpg",27990,,https://sandiegoharley.com/inventory/821927/2024,Motorcycles,other
4802,1HD1LR367JC425875,425875BB,U,2018,Harley-Davidson,2018 Harley-Davidson Forty-Eight Special,,,,,,854,,,,Candy Cobalt and White Gold Pearl with Airflow graphics,,,7150,7150,7150,18-01-2025 21:38,,"The 2018 Harley-Davidson Forty-Eight Special is a stripped-down, aggressive cruiser that blends classic Harley styling with modern performance. Powered by the Evolution 1200cc V-Twin engine, it delivers 73 lb-ft of torque for smooth, responsive acceleration, paired with a five-speed Cruise Drive transmission for effortless shifting. Its chunky 16-inch tires, heavy-duty front fork, and dual rear shocks ensure stability and precise handling, whether cruising city streets or open highways. The low 26.4-inch seat height, iconic peanut gas tank, and blacked-out finishes give it a tough, vintage-inspired look, while its custom-style solo seat and upgraded handlebars add to its bold personality. Perfect for riders seeking a raw, powerful ride with a minimalist aesthetic, the Forty-Eight Special is both agile and easy to handle. Contact us today to check it out!",,"https://cdn.room58.com/2025/04/09/7ffe681d3b7db26e1833e08fbbcc7288_7ff8c3648a02dfcf.jpg,https://cdn.room58.com/2025/01/22/62b193ea7d4827efd0be4bc78faa44f5_9e81979bca90099f.jpg,https://cdn.room58.com/2025/01/22/f438e1b1def86470fda46d2301314c68_faad49e18fb0a95e.jpg,https://cdn.room58.com/2025/01/22/37584dccdaef1415ed8cf704a3175d64_7de4a83ca20ec358.jpg,https://cdn.room58.com/2025/01/22/3ce36690be7597a32f3afde681971cb3_61c020ce25330388.jpg,https://cdn.room58.com/2025/01/22/b97a4e928ece52d7b7f8c2f5a467af82_bc381cf1755d446b.jpg,https://cdn.room58.com/2025/01/22/d9b7ac546c441304a47b4a5d7235de8c_4c9a28e980146753.jpg,https://cdn.room58.com/2025/01/22/c1c76a7d27923c3ece316376d1f8ce2a_72d6e8b9f5d61910.jpg,https://cdn.room58.com/2025/01/22/c00f1e74f237691c8272df4888c49e55_e335c13b00eb542a.jpg,https://cdn.room58.com/2025/01/22/e243c173c20a8cb6b45e869934d97a73_de033f8950f57966.jpg",7150,,https://sandiegoharley.com/inventory/822609/2018-harley-davidson-forty-eight-special,Motorcycles,other
4802,1HD1BYB523Y098801,098801BB,U,2003,Harley-Davidson,2003 Harley-Davidson Heritage Springer,,,,,,10219,,,,105th Anniversary Copper Pearl & Vivid Black,,,9888,9888,9888,18-01-2025 21:43,,"The 2003 Harley-Davidson Heritage Springer is a classic cruiser that blends timeless Harley-Davidson styling with modern comfort and power. Featuring the iconic springer front end, chrome detailing, and leather saddlebags, this bike is a true tribute to Harley’s heritage. Powered by the Twin Cam 88 V-Twin engine, it delivers 74 lb-ft of torque, paired with a five-speed Cruise Drive transmission for smooth performance on city streets and highways. The 26.3-inch seat height, classic sprung solo seat, and vintage-inspired design make for a comfortable yet stylish ride, while the dual front disc brakes and rear shock absorbers ensure stability and control. Whether you're looking for a collector’s piece, a touring companion, or a head-turning custom build, the Heritage Springer delivers power, nostalgia, and reliability in one stunning package. Contact us today to make this classic yours!",,"https://cdn.room58.com/2025/04/09/c450178dbb671540fe2ffc6d15ed0936_fa8bd1f25bbc2b6a.jpg,https://cdn.room58.com/2025/01/23/a8df9fdcff159577b016f2bef6c1966d_13638247af75bbe0.jpg,https://cdn.room58.com/2025/01/23/36bd0a9bfb2416272436dee2aa8650b8_af6e7bc5d7c26051.jpg,https://cdn.room58.com/2025/01/23/d62a024d2edf1a111fe9c88c0d691eba_6d618211193e0d5e.jpg,https://cdn.room58.com/2025/01/23/9e35f5b0fd342d7a735a1ba3697148a1_76861b5b18df98d6.jpg,https://cdn.room58.com/2025/01/23/936e717ee1177f4d2cd78c583e34f03e_52f4e6fb55997b26.jpg,https://cdn.room58.com/2025/01/23/bd109ea1af0f257a0bc0c27f4af5155f_0a457e56f2220cc2.jpg,https://cdn.room58.com/2025/01/23/d30d8b0f2d5b476d699f3ef8dfcd4bf0_fd29c968e23d831c.jpg,https://cdn.room58.com/2025/01/23/b6523ac922f19fd10b46c0d945e38414_9f42fcb07c875e22.jpg,https://cdn.room58.com/2025/01/23/c6dd05c846d1873b5097da7ed2591d40_e5e73a5ef0dcb79f.jpg",9888,,https://sandiegoharley.com/inventory/822610/2003-harley-davidson-heritage-springer,Motorcycles,other
4802,4K7S813567C024552,024552BB,U,2007,CUSTOM,EVO Motor Softail Harley-Davidson BARBERSHOP Custom built,,,,,,10,,,,CUSTOM,,,7888,7888,7888,06-02-2025 22:27,,"The “Barbershop” Special – Custom Build by HMF Customs. From the front end to the engine components, every single inch of this motorcycle has been reimagined, rebuilt, and refined by the expert hands at HMF Customs. This isn’t just a bike—it’s a rolling work of art.

Fully one-of-a-kind, the “Barbershop” Special blends mechanical craftsmanship with vintage style, making it a perfect centerpiece for any barbershop, hair salon, or collector’s showroom. Whether on display or turning heads on the street, this masterpiece is guaranteed to spark conversation and admiration.",,"https://cdn.room58.com/2025/04/06/d84f346fe30b522acf87aee291fec2a5_ad5c39a47c1e9985.jpg,https://cdn.room58.com/2025/02/06/e49c6fb05bfe491c33b4ccafe353ff8b_6597c85cda9851c4.jpg,https://cdn.room58.com/2025/02/06/eb698ea9f366ba0202b9b6d21a6f30db_ad9ed6beabdce344.jpg,https://cdn.room58.com/2025/02/06/b689d46649c4885ea2c895ae0f61a6c5_cd4fd8b01cd1e8c4.jpg,https://cdn.room58.com/2025/02/06/3e8df9525413d504b61dfe5fceeda842_658a50a256172ee4.jpg,https://cdn.room58.com/2025/02/06/fcd2988a1adace8baf5ee2023552127a_7efc202ccec0aab9.jpg",7888,,https://sandiegoharley.com/inventory/826312/barbershop-custom-built,Motorcycles,other
4802,1HD1YXA29SB013180,013180T,U,2025,Harley-Davidson,2025 Harley-Davidson Low Rider ST,,,,,,874,,,,VIVID BLACK,,,22499,22499,22499,21-02-2025 00:20,,"Heritage-inspired tank graphics and an FXRT-style fairing look retro, but the Low Rider ST is a modern performance motorcycle with a Milwaukee-Eight 117 High Output V-twin engine.",,"https://cdn.room58.com/2025/04/06/aa252fd33de09c806e71f845a476e0a5_02ff0b3c853797f5.jpg,https://cdn.room58.com/2025/02/20/7e039b65568cb97d8d869f8bb9c52ed9_0a57e09e8fb36937.jpg,https://cdn.room58.com/2025/02/20/6667b6ce0b10fd211114fc53700a573c_3689e998c93b2c1e.jpg,https://cdn.room58.com/2025/02/20/3e04070c2d5adb72417b2413a8d5fcc7_f0d1fe56f8c18838.jpg,https://cdn.room58.com/2025/02/20/bf578ed2384528260d9a1e1a4eaaa203_1ad9a9e528a5ef13.jpg,https://cdn.room58.com/2025/02/20/e84cf731a00590eec1582cfb1f3ab5a7_d41baf0ccc3c0be9.jpg",22499,,https://sandiegoharley.com/inventory/830137/2025-harley-davidson-low-rider-st,Motorcycles,manual
4802,1HD1KH720SB602682,602682BB,U,2025,Harley-Davidson,2025 Harley-Davidson Road Glide,,,,,,797,,,,Vivid Black - Black Finish,,,29499,29499,29499,26-02-2025 22:26,,"2025 ROAD GLIDE – BLACK ON BLACK

Come correct with this fully accessorized 2025 Road Glide, built to dominate the streets and turn heads at every stoplight. Blacked-out and bold, this machine features upgraded spoke wheels, S&S exhaust, custom SDHD seat with passenger backrest, and risers — all dialed in for performance, comfort, and attitude.

This isn’t your average bagger — it’s a statement on two wheels. Ride it. Own it. Rule the road.",,"https://cdn.room58.com/2025/04/23/10abe8bc9ff5ceaadaeaef98cb49fa7b_30601eaa4e757c4f.jpg,https://cdn.room58.com/2025/04/23/d487f2433701ac86e920e611ff90f089_54a9809ad5d595fa.jpg,https://cdn.room58.com/2025/04/23/6ca87f647c81d1b33572c20c15770e43_ac2e668758f3b504.jpg,https://cdn.room58.com/2025/04/23/f7df1d7b15744442ff718fe716f58caf_6c65cd1db1b8aaf4.jpg,https://cdn.room58.com/2025/04/23/dc48da9b438c143a951d26a614aa64b3_cfb969d1e6ae6c6f.jpg,https://cdn.room58.com/2025/04/23/3a0bc3ebed1b4fd9e3156f3a9c677448_f4ed109202585979.jpg",29499,,https://sandiegoharley.com/inventory/831348/2025-harley-davidson-road-glide,Motorcycles,manual
4802,1HD1YGK10NB027026,027026BB,U,2022,Harley-Davidson,2022 Harley-Davidson Fat Boy 114,,,,,,5595,,,,#N/A,,,15499,15499,15499,12-04-2025 18:48,,"2022 Harley-Davidson Fat Boy 114 – Blue Burst

The original fat custom icon is back and bolder than ever. The 2022 Fat Boy 114 in stunning Blue Burst combines classic Harley-Davidson heritage with modern muscle. Its solid-disc Lakester wheels, satin chrome finishes, and broad stance command attention, while the Milwaukee-Eight 114 engine delivers unmatched torque and performance.

Key Features:

Iconic Lakester solid-disc wheels with a muscular stance

Milwaukee-Eight 114 V-Twin engine for massive torque and smooth power

Bright LED headlamp for enhanced visibility

Signature fat fenders and satin chrome finishes

Comfortable seating and cruiser ergonomics for long or short rides

Whether you’re rolling through city streets or cruising the open highway, the Fat Boy 114 is built to turn heads and deliver pure Harley-Davidson attitude.",,"https://cdn.room58.com/2025/04/23/73e714af9e40b0088ced7408d3ca17fa_6b1d5492d9b8c057.jpg,https://cdn.room58.com/2025/04/23/efc046b7a45e6ad6d14705dee58ccbd2_9a644347e35bd83a.jpg,https://cdn.room58.com/2025/04/23/e82ea19c6f879dd2d658ece0fb3a921b_189ea90cc1f894d3.jpg,https://cdn.room58.com/2025/04/23/b218b16eaf0dcbb25d1f048b337bde2b_864e15662bfa736c.jpg,https://cdn.room58.com/2025/04/23/d229618a4723d3f5e07e456c2eae3d33_b0c184430993b877.jpg,https://cdn.room58.com/2025/04/23/eda836f010c33ce1d1b1dcebd250e8f7_543bff894430b069.jpg",15499,,https://sandiegoharley.com/inventory/845966/2022-harley-davidson-fat-boy-114,Motorcycles,other
4802,1HD1YWZ24RB019901,019901BB,U,2024,Harley-Davidson,2024 Harley-Davidson Low Rider S,,,,,,3774,,,,#N/A,,,17499,17499,17499,12-04-2025 18:49,,"The 2024 Low Rider S is performance-first style at its finest — combining West Coast attitude with Harley-Davidson muscle. Powered by the Milwaukee-Eight 117 engine, it delivers instant torque and crisp throttle response. With its aggressive riding position, lightweight chassis, and iconic blacked-out look, the Low Rider S is built for riders who demand power, precision, and presence on every ride.",,"https://cdn.room58.com/2025/04/17/90c918959de734fef89ad083342a9940_2aaeccdd56fdfa20.jpg,https://cdn.room58.com/2025/04/17/e2c1f67fce3cc0091020125bc5bd3cde_2fa6b09182d552c2.jpg,https://cdn.room58.com/2025/04/17/aa0e46303716c1a344aebf669eb87cac_3892622ca085c2e2.jpg,https://cdn.room58.com/2025/04/17/4f158d18eca5e53996e12c2b33eb05a4_80a6ca98b6d4f7bb.jpg,https://cdn.room58.com/2025/04/17/2df4210a89c625d90ab51a925fb5e353_e3bd83913cb6dc4b.jpg,https://cdn.room58.com/2025/04/17/8ac7e193bb7cc25e6553e56df98be30b_2174dc817d61090d.jpg",17499,,https://sandiegoharley.com/inventory/845968/2024-harley-davidson-low-rider-s,Motorcycles,other
